,#,Tên huyện,Số điểm cháy
0,1,Hàm Tân,6
1,2,Phan Thiết,4
2,3,Bắc Bình,25
3,4,Hàm Thuận Bắc,17
4,5,Hàm Thuận Nam,17
5,6,Tánh Linh,25
6,7,Tuy Phong,2
7,8,TX. La Gi,15
