,#,Tên huyện,Số điểm cháy
0,1,Đồng Xuân,408
1,2,Tuy An,143
2,3,Sông Hinh,515
3,4,Phú Hòa,251
4,5,Tuy Hòa,72
5,6,Đông Hòa,36
6,7,Tây Hòa,107
7,8,TX. Sông Cầu,111
8,9,Sơn Hòa,1641
