,#,Tháng,Số điểm cháy
0,1,1,21
1,2,2,222
2,3,3,584
3,4,4,540
4,5,5,72
5,6,6,53
6,7,7,13
7,8,8,1
8,9,9,12
9,10,10,12
10,11,11,75
11,12,12,135
