,#,Tháng,Số điểm cháy
0,1,1,31
1,2,2,86
2,3,3,286
3,4,4,86
4,5,5,7
5,6,6,1
6,7,7,6
7,8,8,4
8,9,9,20
9,10,10,16
10,11,11,37
11,12,12,2
