,#,Tên huyện,Số điểm cháy
0,1,Tuy Đức,68
1,2,Cư Jút,26
2,3,Đắk Mil,4
3,4,Đắk Song,16
4,5,Đắk RLấp,5
5,6,Đắk Glong,200
6,7,TX. Gia Nghĩa,1
7,8,KRông Nô,31
