,#,Tên huyện,Số điểm cháy
0,1,Phổ Yên,3
1,2,Phú Lương,1
2,3,Võ Nhai,10
3,4,Định Hóa,4
4,5,Đồng Hỷ,8
5,6,Phú Bình,1
