,#,Tên huyện,Số điểm cháy
0,1,TX. Bến Cát,48
1,2,Dầu Tiếng,37
2,3,TX. Dĩ An,2
3,4,Bắc Tân Uyên,59
4,5,TX. Thuận An,4
5,6,Bàu Bàng,39
6,7,TX. Tân Uyên,21
7,8,Thủ Dầu Một,6
8,9,Phú Giáo,46
