,#,Tên huyện,Số điểm cháy
0,1,Văn Chấn,8
1,2,Lục Yên,6
2,3,Trạm Tấu,13
3,4,Trấn Yên,7
4,5,Mù Cang Chải,32
5,6,Văn Yên,22
6,7,Yên Bình,3
