,#,Tháng,Số điểm cháy
0,1,1,54
1,2,2,325
2,3,3,927
3,4,4,1693
4,5,5,262
5,6,6,44
6,7,7,152
7,8,8,289
8,9,9,178
9,10,10,213
10,11,11,23
11,12,12,3
