,#,Tên huyện,Số điểm cháy
0,1,Phú Ninh,9
1,2,Thăng Bình,1
2,3,Nam Giang,14
3,4,Bắc Trà My,79
4,5,Đông Giang,46
5,6,Nông Sơn,11
6,7,Đại Lộc,39
7,8,Tiên Phước,52
8,9,Nam Trà My,13
9,10,Duy Xuyên,3
10,11,Tây Giang,36
11,12,Quế Sơn,6
12,13,Núi Thành,31
13,14,Phước Sơn,50
14,15,Hiệp Đức,52
