,#,Tên huyện,Số điểm cháy
0,1,Bình Gia,17
1,2,Tràng Định,6
2,3,Chi Lăng,2
3,4,Hữu Lũng,2
4,5,Đình Lập,17
5,6,Lộc Bình,2
6,7,Bắc Sơn,6
