,#,Tên huyện,Số điểm cháy
0,1,Nguyên Bình,4
1,2,Hòa An,4
2,3,Bảo Lâm,10
3,4,Trà Lĩnh,1
4,5,Thạch An,5
5,6,Bảo Lạc,10
6,7,Trùng Khánh,1
