,#,Tên huyện,Số điểm cháy
0,1,Lâm Bình,69
1,2,Chiêm Hóa,136
2,3,Hàm Yên,94
3,4,Yên Sơn,114
4,5,Na Hang,38
5,6,Sơn Dương,26
6,7,Tuyên Quang,6
