,#,Tên huyện,Số điểm cháy
0,1,Cam Ranh,14
1,2,Cam Lâm,46
2,3,Nha Trang,10
3,4,TX. Ninh Hòa,144
4,5,Vạn Ninh,21
5,6,Khánh Sơn,46
6,7,Diên Khánh,7
7,8,Khánh Vĩnh,157
