,#,Tháng,Số điểm cháy
0,1,1,568
1,2,2,4303
2,3,3,6419
3,4,4,248
4,5,5,228
5,6,6,26
6,7,7,274
7,8,8,44
8,9,9,40
9,10,10,78
10,11,11,8
11,12,12,15
