,#,Tháng,Số điểm cháy
0,1,1,603
1,2,2,14203
2,3,3,24140
3,4,4,13816
4,5,5,283
5,6,6,55
6,7,7,64
7,8,8,34
8,9,9,94
9,10,10,73
10,11,11,91
11,12,12,252
