,#,Tên huyện,Số điểm cháy
0,1,Bát Xát,45
1,2,Mường Khương,33
2,3,Lào Cai,3
3,4,Bảo Yên,74
4,5,Văn Bàn,45
5,6,Bắc Hà,34
6,7,Si Ma Cai,5
7,8,Bảo Thắng,15
