,#,Tháng,Số điểm cháy
0,1,1,5
1,2,2,152
2,3,3,70
3,4,4,632
4,5,5,44
5,6,6,3
6,7,8,7
7,8,9,12
8,9,10,13
9,10,11,73
10,11,12,2
