,#,Tháng,Số điểm cháy
0,1,1,5
1,2,2,43
2,3,3,9
3,4,4,15
4,5,5,8
5,6,6,9
6,7,7,1
7,8,8,2
8,9,9,1
9,10,11,10
10,11,12,40
