,#,Tháng,Số điểm cháy
0,1,1,113
1,2,2,826
2,3,3,1138
3,4,4,813
4,5,5,40
5,6,6,19
6,7,7,53
7,8,8,33
8,9,9,40
9,10,10,170
10,11,11,155
11,12,12,112
