,#,Tháng,Số điểm cháy
0,1,1,99
1,2,2,770
2,3,3,1350
3,4,4,4064
4,5,5,421
5,6,6,419
6,7,7,41
7,8,8,65
8,9,9,65
9,10,10,145
10,11,11,54
11,12,12,22
