,#,Tên huyện,Số điểm cháy
0,1,Phong Điền,16
1,2,A Lưới,14
2,3,TX. Hương Thủy,21
3,4,Hương Trà,38
4,5,Nam Đông,24
5,6,Phú Lộc,28
