,#,Tháng,Số điểm cháy
0,1,2,7
1,2,3,12
2,3,4,43
3,4,5,11
4,5,6,71
5,6,7,26
6,7,8,84
7,8,9,114
8,9,10,76
9,10,11,15
10,11,12,24
