,#,Tháng,Số điểm cháy
0,1,1,16
1,2,2,8
2,3,3,5
3,4,4,7
4,5,5,3
5,6,6,1
6,7,8,1
7,8,9,1
8,9,10,1
9,10,11,1
10,11,12,1
