,#,Tên huyện,Số điểm cháy
0,1,Nguyên Bình,36
1,2,Hòa An,17
2,3,Bảo Lâm,102
3,4,Hà Quảng,5
4,5,Hạ Lang,4
5,6,Quảng Uyên,1
6,7,Thạch An,25
7,8,Bảo Lạc,70
8,9,Thông Nông,11
9,10,Trùng Khánh,1
10,11,Phục Hòa,1
