,#,Tên huyện,Số điểm cháy
0,1,Đồng Hới,133
1,2,Bố Trạch,1408
2,3,Tuyên Hoá,539
3,4,Lệ Thuỷ,1387
4,5,Quảng Trạch,756
5,6,Minh Hoá,347
6,7,TX. Ba Đồn,148
7,8,Quảng Ninh,523
