,#,Tháng,Số điểm cháy
0,1,1,8
1,2,2,32
2,3,3,308
3,4,4,134
4,5,5,40
5,6,6,30
6,7,7,33
7,8,8,31
8,9,9,86
9,10,10,54
10,11,11,76
11,12,12,21
