,#,Tên huyện,Số điểm cháy
0,1,Bá Thước,10
1,2,Hà Trung,11
2,3,Lang Chánh,163
3,4,TX. Bỉm Sơn,65
4,5,Thạch Thành,22
5,6,Triệu Sơn,5
6,7,Cẩm Thủy,18
7,8,Như Xuân,65
8,9,Quan Sơn,26
9,10,Quan Hóa,61
10,11,TX. Sầm Sơn,1
11,12,Tĩnh Gia,187
12,13,Nga Sơn,6
13,14,Nông Cống,15
14,15,Thường Xuân,168
15,16,Như Thanh,101
16,17,Vĩnh Lộc,1
17,18,Mường Lát,573
18,19,Yên Định,3
19,20,Thiệu Hóa,3
20,21,Quảng Xương,4
21,22,Hoằng Hóa,1
22,23,Ngọc Lặc,26
23,24,Thọ Xuân,3
24,25,Hậu Lộc,2
25,26,Thanh Hóa,5
