,#,Tháng,Số điểm cháy
0,1,1,18
1,2,2,102
2,3,3,411
3,4,4,322
4,5,5,76
5,6,6,25
6,7,7,38
7,8,8,7
8,9,9,50
9,10,10,44
10,11,11,58
11,12,12,35
