,#,Tên huyện,Số điểm cháy
0,1,Bát Xát,11
1,2,Mường Khương,4
2,3,Bảo Yên,6
3,4,Văn Bàn,28
4,5,Bắc Hà,3
5,6,Sa Pa,5
6,7,Bảo Thắng,4
