,#,Tháng,Số điểm cháy
0,1,1,109
1,2,2,170
2,3,3,336
3,4,4,125
4,5,5,20
5,6,6,3
6,7,7,11
7,8,8,5
8,9,9,3
9,10,10,3
10,11,11,5
11,12,12,11
