,#,Tên huyện,Số điểm cháy
0,1,Tây Hòa,4
1,2,TX. Sông Cầu,18
2,3,Sơn Hòa,43
3,4,Đồng Xuân,34
4,5,Phú Hòa,8
5,6,Tuy Hòa,1
