,#,Tên huyện,Số điểm cháy
0,1,Thăng Bình,49
1,2,Nam Giang,552
2,3,Bắc Trà My,1360
3,4,Đông Giang,558
4,5,Nông Sơn,244
5,6,Tam Kỳ,42
6,7,Đại Lộc,499
7,8,Tiên Phước,715
8,9,Hội An,6
9,10,Điện Bàn,49
10,11,Nam Trà My,1271
11,12,Duy Xuyên,115
12,13,Tây Giang,1141
13,14,Quế Sơn,87
14,15,Núi Thành,929
15,16,Phước Sơn,707
16,17,Hiệp Đức,628
17,18,Phú Ninh,137
