,#,Tên huyện,Số điểm cháy
0,1,Vụ Bản,11
1,2,Nam Định,3
2,3,Vườn Quốc Gia Xuân Thu,1
3,4,Nghĩa Hưng,1
4,5,Xuân Trường,1
5,6,Hải Hậu,2
6,7,Trực Ninh,2
