,#,Tên huyện,Số điểm cháy
0,1,Nha Trang,1
1,2,Cam Ranh,9
2,3,Cam Lâm,13
3,4,TX. Ninh Hòa,12
4,5,Khánh Sơn,17
5,6,Diên Khánh,5
6,7,Khánh Vĩnh,24
