,#,Tên huyện,Số điểm cháy
0,1,Tây Hòa,5
1,2,TX. Sông Cầu,27
2,3,Sơn Hòa,33
3,4,Đồng Xuân,55
4,5,Tuy An,1
5,6,Sông Hinh,8
6,7,Phú Hòa,34
