,#,Tháng,Số điểm cháy
0,1,1,52
1,2,2,351
2,3,3,442
3,4,4,751
4,5,5,135
5,6,6,102
6,7,7,96
7,8,8,131
8,9,9,222
9,10,10,214
10,11,11,24
11,12,12,33
