,#,Tên huyện,Số điểm cháy
0,1,Hàm Tân,1524
1,2,Phan Thiết,111
2,3,Bắc Bình,4792
3,4,Tánh Linh,971
4,5,Hàm Thuận Bắc,1401
5,6,Hàm Thuận Nam,2378
6,7,Tuy Phong,1522
7,8,TX. La Gi,680
8,9,Đức Linh,185
