,#,Tháng,Số điểm cháy
0,1,1,23
1,2,2,11
2,3,3,54
3,4,4,95
4,5,5,97
5,6,6,48
6,7,7,98
7,8,8,87
8,9,9,92
9,10,10,26
10,11,11,11
