,#,Tháng,Số điểm cháy
0,1,1,52
1,2,2,160
2,3,3,440
3,4,4,217
4,5,5,64
5,6,6,32
6,7,7,33
7,8,8,7
8,9,9,80
9,10,10,43
10,11,11,55
11,12,12,21
