,#,Tháng,Số điểm cháy
0,1,1,1
1,2,2,2
2,3,3,3
3,4,4,80
4,5,5,79
5,6,6,12
6,7,7,4
7,8,8,5
8,9,9,3
9,10,10,3
10,11,11,1
11,12,12,1
