,#,Tên huyện,Số điểm cháy
0,1,Lương Sơn,4
1,2,Kỳ Sơn,6
2,3,Lạc Sơn,28
3,4,Mai Châu,10
4,5,Cao Phong,7
5,6,Yên Thủy,8
6,7,Kim Bôi,6
7,8,Tân Lạc,15
8,9,Lạc Thủy,4
9,10,Hòa Bình,2
10,11,Đà Bắc,16
