,#,Tên huyện,Số điểm cháy
0,1,Trảng Bom,50
1,2,TX. Long Khánh,22
2,3,Định Quán,86
3,4,Cẩm Mỹ,47
4,5,Tân Phú,39
5,6,Nhơn Trạch,70
6,7,Xuân Lộc,136
7,8,Vĩnh Cửu,75
8,9,Biên Hòa,51
9,10,Long Thành,68
10,11,Thống Nhất,35
