,#,Tháng,Số điểm cháy
0,1,1,3
1,2,3,4
2,3,4,6
3,4,5,10
4,5,6,23
5,6,7,13
6,7,8,57
7,8,9,23
8,9,10,30
9,10,11,46
10,11,12,80
