,#,Tháng,Số điểm cháy
0,1,1,363
1,2,2,2573
2,3,3,7371
3,4,4,9414
4,5,5,198
5,6,6,18
6,7,7,8
7,8,8,7
8,9,9,107
9,10,10,72
10,11,11,289
11,12,12,228
