,#,Tên huyện,Số điểm cháy
0,1,TX. Phước Long,16
1,2,Bù Gia Mập,25
2,3,Hớn Quản,37
3,4,Chơn Thành,28
4,5,Lộc Ninh,169
5,6,Phú Riềng,41
6,7,TX. Bình Long,6
7,8,Bù Đốp,35
8,9,Bù Đăng,33
9,10,Đồng Phú,71
10,11,TX. Đồng Xoài,20
