,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
109,8.0,Tuyên Quang,2019.0,2.0,384.0,81.0,22.3,42.9,88.6,21.777355,105.228424,1
110,8.0,Tuyên Quang,2019.0,3.0,408.0,83.0,22.5,16.3,72.0,21.777355,105.228424,1
111,8.0,Tuyên Quang,2019.0,4.0,941.0,83.0,27.0,100.1,116.6,21.777355,105.228424,1
112,8.0,Tuyên Quang,2019.0,5.0,76.0,82.0,27.6,139.6,105.6,21.777355,105.228424,1
113,8.0,Tuyên Quang,2019.0,6.0,14.0,81.0,30.1,352.5,176.5,21.777355,105.228424,1
114,8.0,Tuyên Quang,2019.0,7.0,1.0,83.0,29.7,145.5,155.9,21.777355,105.228424,1
115,8.0,Tuyên Quang,2019.0,8.0,5.0,83.0,29.0,256.7,202.5,21.777355,105.228424,1
116,8.0,Tuyên Quang,2019.0,9.0,14.0,79.0,27.9,132.7,227.0,21.777355,105.228424,1
117,8.0,Tuyên Quang,2019.0,10.0,28.0,84.0,25.6,155.1,146.4,21.777355,105.228424,1
118,8.0,Tuyên Quang,2019.0,11.0,60.0,81.0,22.2,53.1,116.8,21.777355,105.228424,1
119,8.0,Tuyên Quang,2019.0,12.0,3.0,79.0,18.1,6.4,144.5,21.777355,105.228424,1
165,12.0,Lai Châu,2017.0,1.0,1.0,83.0,14.8,72.2,122.0,22.362776,103.265991,0
166,12.0,Lai Châu,2017.0,2.0,111.0,78.0,15.1,16.0,150.5,22.362776,103.265991,0
167,12.0,Lai Châu,2017.0,3.0,327.0,78.0,18.6,218.3,184.2,22.362776,103.265991,0
168,12.0,Lai Châu,2017.0,4.0,347.0,79.0,20.4,217.8,164.5,22.362776,103.265991,0
169,12.0,Lai Châu,2017.0,5.0,156.0,79.0,22.3,194.6,198.6,22.362776,103.265991,0
170,12.0,Lai Châu,2017.0,6.0,28.0,87.0,23.4,637.6,110.4,22.362776,103.265991,0
171,12.0,Lai Châu,2017.0,7.0,4.0,87.0,22.6,639.8,121.4,22.362776,103.265991,0
172,12.0,Lai Châu,2017.0,8.0,3.0,92.0,23.4,566.8,104.5,22.362776,103.265991,0
173,12.0,Lai Châu,2017.0,9.0,43.0,89.0,23.9,284.6,132.9,22.362776,103.265991,0
174,12.0,Lai Châu,2017.0,10.0,64.0,89.0,21.0,160.0,112.5,22.362776,103.265991,0
175,12.0,Lai Châu,2017.0,11.0,89.0,86.0,17.0,136.1,138.8,22.362776,103.265991,0
176,12.0,Lai Châu,2017.0,12.0,95.0,85.0,13.8,35.3,158.8,22.362776,103.265991,0
177,12.0,Lai Châu,2018.0,1.0,129.0,83.0,14.4,53.5,127.5,22.362776,103.265991,0
178,12.0,Lai Châu,2018.0,2.0,1623.0,79.0,14.3,31.8,153.0,22.362776,103.265991,0
179,12.0,Lai Châu,2018.0,3.0,3455.0,80.0,18.4,99.5,176.5,22.362776,103.265991,0
180,12.0,Lai Châu,2018.0,4.0,3407.0,80.0,20.9,292.8,196.8,22.362776,103.265991,0
181,12.0,Lai Châu,2018.0,5.0,143.0,85.0,22.8,433.7,190.0,22.362776,103.265991,0
182,12.0,Lai Châu,2018.0,6.0,2.0,92.0,23.1,526.2,84.4,22.362776,103.265991,0
183,12.0,Lai Châu,2018.0,7.0,1.0,89.0,24.0,330.3,158.4,22.362776,103.265991,0
184,12.0,Lai Châu,2018.0,8.0,4.0,90.0,23.9,426.4,127.9,22.362776,103.265991,0
185,12.0,Lai Châu,2018.0,9.0,15.0,86.0,23.4,322.9,118.5,22.362776,103.265991,0
186,12.0,Lai Châu,2018.0,10.0,22.0,86.0,20.8,188.1,130.3,22.362776,103.265991,0
187,12.0,Lai Châu,2018.0,11.0,162.0,84.0,18.7,83.9,235.2,22.362776,103.265991,0
188,12.0,Lai Châu,2018.0,12.0,186.0,86.0,15.6,106.0,146.5,22.362776,103.265991,0
189,12.0,Lai Châu,2019.0,1.0,51.0,88.0,14.8,144.9,131.5,22.362776,103.265991,0
190,12.0,Lai Châu,2019.0,2.0,3420.0,75.0,18.8,25.1,246.6,22.362776,103.265991,0
191,12.0,Lai Châu,2019.0,3.0,7769.0,77.0,20.3,51.1,190.4,22.362776,103.265991,0
192,12.0,Lai Châu,2019.0,4.0,10830.0,75.0,23.5,72.7,241.5,22.362776,103.265991,0
193,12.0,Lai Châu,2019.0,5.0,526.0,80.0,24.7,500.5,231.0,22.362776,103.265991,0
194,12.0,Lai Châu,2019.0,6.0,1.0,88.0,24.2,711.4,127.4,22.362776,103.265991,0
195,12.0,Lai Châu,2019.0,7.0,1.0,90.0,23.6,507.8,91.1,22.362776,103.265991,0
196,12.0,Lai Châu,2019.0,8.0,5.0,86.0,24.6,169.9,187.1,22.362776,103.265991,0
197,12.0,Lai Châu,2019.0,9.0,16.0,82.0,22.7,86.8,185.1,22.362776,103.265991,0
198,12.0,Lai Châu,2019.0,10.0,29.0,85.0,21.0,222.3,174.4,22.362776,103.265991,0
199,12.0,Lai Châu,2019.0,11.0,31.0,82.0,18.6,7.0,164.9,22.362776,103.265991,0
200,12.0,Lai Châu,2019.0,12.0,7.0,77.0,14.2,43.0,219.4,22.362776,103.265991,0
252,14.0,Sơn La,2017.0,1.0,3.0,82.0,17.1,150.8,102.3,21.328716,103.914528,2
253,14.0,Sơn La,2017.0,2.0,141.0,73.0,17.0,19.5,156.2,21.328716,103.914528,2
254,14.0,Sơn La,2017.0,3.0,452.0,70.0,21.1,83.9,200.1,21.328716,103.914528,2
255,14.0,Sơn La,2017.0,4.0,373.0,75.0,23.0,112.2,187.1,21.328716,103.914528,2
256,14.0,Sơn La,2017.0,5.0,254.0,74.0,24.6,81.1,231.1,21.328716,103.914528,2
257,14.0,Sơn La,2017.0,6.0,15.0,78.0,26.1,136.2,162.2,21.328716,103.914528,2
258,14.0,Sơn La,2017.0,7.0,11.0,84.0,25.2,227.5,157.2,21.328716,103.914528,2
259,14.0,Sơn La,2017.0,8.0,5.0,85.0,25.1,319.5,145.6,21.328716,103.914528,2
260,14.0,Sơn La,2017.0,9.0,78.0,83.0,25.2,105.4,172.4,21.328716,103.914528,2
261,14.0,Sơn La,2017.0,10.0,108.0,80.0,22.0,76.4,132.4,21.328716,103.914528,2
262,14.0,Sơn La,2017.0,11.0,172.0,81.0,18.5,10.2,137.6,21.328716,103.914528,2
263,14.0,Sơn La,2017.0,12.0,231.0,80.0,15.0,59.3,142.3,21.328716,103.914528,2
264,14.0,Sơn La,2018.0,1.0,363.0,77.0,15.7,32.4,129.6,21.328716,103.914528,2
265,14.0,Sơn La,2018.0,2.0,2573.0,69.0,16.2,2.8,127.1,21.328716,103.914528,2
266,14.0,Sơn La,2018.0,3.0,7371.0,74.0,20.2,84.0,178.3,21.328716,103.914528,2
267,14.0,Sơn La,2018.0,4.0,9414.0,77.0,22.7,95.1,200.3,21.328716,103.914528,2
268,14.0,Sơn La,2018.0,5.0,198.0,81.0,24.7,208.2,231.5,21.328716,103.914528,2
269,14.0,Sơn La,2018.0,6.0,18.0,85.0,25.1,313.0,125.2,21.328716,103.914528,2
270,14.0,Sơn La,2018.0,7.0,8.0,86.0,25.5,179.7,155.5,21.328716,103.914528,2
271,14.0,Sơn La,2018.0,8.0,7.0,86.0,25.0,399.2,134.6,21.328716,103.914528,2
272,14.0,Sơn La,2018.0,9.0,107.0,79.0,24.9,78.7,188.1,21.328716,103.914528,2
273,14.0,Sơn La,2018.0,10.0,72.0,78.0,22.6,63.9,190.3,21.328716,103.914528,2
274,14.0,Sơn La,2018.0,11.0,289.0,78.0,20.1,45.6,220.0,21.328716,103.914528,2
275,14.0,Sơn La,2018.0,12.0,228.0,79.0,17.0,37.0,140.0,21.328716,103.914528,2
276,14.0,Sơn La,2019.0,1.0,154.0,80.0,16.5,58.7,103.3,21.328716,103.914528,2
277,14.0,Sơn La,2019.0,2.0,4884.0,68.0,20.6,10.2,229.3,21.328716,103.914528,2
278,14.0,Sơn La,2019.0,3.0,12993.0,73.0,22.0,22.6,200.0,21.328716,103.914528,2
279,14.0,Sơn La,2019.0,4.0,24267.0,65.0,26.0,66.5,261.9,21.328716,103.914528,2
280,14.0,Sơn La,2019.0,5.0,175.0,75.0,26.8,128.5,234.6,21.328716,103.914528,2
281,14.0,Sơn La,2019.0,6.0,24.0,80.0,26.8,231.2,187.3,21.328716,103.914528,2
282,14.0,Sơn La,2019.0,7.0,3.0,86.0,25.9,254.2,147.0,21.328716,103.914528,2
283,14.0,Sơn La,2019.0,8.0,6.0,85.0,25.6,141.6,198.6,21.328716,103.914528,2
