,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
432,46.0,Huế,2017.0,10.0,38.0,90.0,25.2,384.5,98.1,16.4666648,107.5999976,2
433,46.0,Huế,2017.0,11.0,14.0,94.0,22.8,1773.0,63.7,16.4666648,107.5999976,2
500,48.0,Đà Nẵng,2017.0,6.0,9.0,74.0,30.3,33.6,288.3,16.031944,108.220556,1
501,48.0,Đà Nẵng,2017.0,7.0,6.0,80.0,28.6,248.2,188.1,16.031944,108.220556,1
502,48.0,Đà Nẵng,2017.0,8.0,13.0,77.0,29.7,178.7,254.5,16.031944,108.220556,1
503,48.0,Đà Nẵng,2017.0,9.0,31.0,79.0,28.9,198.0,243.9,16.031944,108.220556,1
504,48.0,Đà Nẵng,2017.0,10.0,8.0,83.0,26.7,363.5,133.0,16.031944,108.220556,1
505,48.0,Đà Nẵng,2017.0,11.0,1.0,89.0,24.9,776.6,83.2,16.031944,108.220556,1
506,48.0,Đà Nẵng,2017.0,12.0,1.0,84.0,22.2,163.5,53.5,16.031944,108.220556,1
554,77.0,Vũng Tàu,2017.0,1.0,3.0,77.0,26.7,109.6,183.4,10.3459,107.08426,1
555,77.0,Vũng Tàu,2017.0,3.0,4.0,74.0,27.5,0.0,286.4,10.3459,107.08426,1
556,77.0,Vũng Tàu,2017.0,4.0,6.0,74.0,29.2,43.5,287.5,10.3459,107.08426,1
557,77.0,Vũng Tàu,2017.0,5.0,10.0,79.0,29.5,169.9,238.8,10.3459,107.08426,1
558,77.0,Vũng Tàu,2017.0,6.0,23.0,80.0,28.8,352.5,200.3,10.3459,107.08426,1
559,77.0,Vũng Tàu,2017.0,7.0,13.0,82.0,27.9,226.1,187.4,10.3459,107.08426,1
560,77.0,Vũng Tàu,2017.0,8.0,57.0,82.0,28.4,166.6,233.8,10.3459,107.08426,1
561,77.0,Vũng Tàu,2017.0,9.0,23.0,80.0,28.8,200.9,225.5,10.3459,107.08426,1
562,77.0,Vũng Tàu,2017.0,10.0,30.0,81.0,27.9,362.2,149.1,10.3459,107.08426,1
563,77.0,Vũng Tàu,2017.0,11.0,46.0,81.0,27.7,51.6,180.2,10.3459,107.08426,1
564,77.0,Vũng Tàu,2017.0,12.0,80.0,76.0,26.7,26.4,198.3,10.3459,107.08426,1
627,84.0,Vinh,2017.0,6.0,16.0,74.0,30.9,49.9,214.4,18.67337,105.69232,1
628,84.0,Vinh,2017.0,7.0,2.0,79.0,29.3,383.5,162.6,18.67337,105.69232,1
629,84.0,Vinh,2017.0,8.0,27.0,75.0,29.9,267.5,170.2,18.67337,105.69232,1
630,84.0,Vinh,2017.0,9.0,7.0,82.0,29.3,300.7,203.3,18.67337,105.69232,1
631,84.0,Vinh,2017.0,10.0,16.0,85.0,25.3,850.1,70.6,18.67337,105.69232,1
632,84.0,Vinh,2017.0,11.0,7.0,85.0,22.0,62.0,44.0,18.67337,105.69232,1
633,84.0,Vinh,2017.0,12.0,28.0,85.0,18.4,36.9,43.9,18.67337,105.69232,1
675,96.0,Cà Mau,2017.0,3.0,2.0,76.0,27.9,12.5,238.5,9.061414,105.032043,1
676,96.0,Cà Mau,2017.0,4.0,7.0,77.0,29.3,98.1,245.1,9.061414,105.032043,1
677,96.0,Cà Mau,2017.0,5.0,2.0,82.0,29.0,272.4,165.4,9.061414,105.032043,1
678,96.0,Cà Mau,2017.0,6.0,32.0,82.0,28.7,148.6,147.6,9.061414,105.032043,1
679,96.0,Cà Mau,2017.0,7.0,13.0,84.0,28.0,251.4,143.7,9.061414,105.032043,1
680,96.0,Cà Mau,2017.0,8.0,24.0,86.0,27.7,383.1,152.3,9.061414,105.032043,1
681,96.0,Cà Mau,2017.0,9.0,11.0,83.0,28.2,291.5,140.9,9.061414,105.032043,1
682,96.0,Cà Mau,2017.0,10.0,29.0,86.0,27.5,453.8,110.2,9.061414,105.032043,1
683,96.0,Cà Mau,2017.0,11.0,56.0,83.0,27.7,121.3,125.8,9.061414,105.032043,1
684,96.0,Cà Mau,2017.0,12.0,19.0,79.0,26.3,72.4,133.4,9.061414,105.032043,1
