,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude
52,8.0,Tuyên Quang,2012.0,5.0,21.0,79.0,28.8,256.5,194.9,21.777355,105.228424
53,8.0,Tuyên Quang,2012.0,6.0,5.0,81.0,29.4,162.5,121.2,21.777355,105.228424
54,8.0,Tuyên Quang,2012.0,9.0,1.0,84.0,26.7,184.9,145.1,21.777355,105.228424
55,8.0,Tuyên Quang,2012.0,12.0,1.0,83.0,17.9,25.2,37.6,21.777355,105.228424
56,8.0,Tuyên Quang,2013.0,3.0,37.0,78.0,24.1,25.5,123.0,21.777355,105.228424
57,8.0,Tuyên Quang,2013.0,4.0,9.0,79.0,24.9,82.5,102.9,21.777355,105.228424
58,8.0,Tuyên Quang,2013.0,5.0,3.0,79.0,28.2,165.8,191.9,21.777355,105.228424
59,8.0,Tuyên Quang,2013.0,6.0,7.0,78.0,29.0,194.0,193.6,21.777355,105.228424
60,8.0,Tuyên Quang,2013.0,10.0,1.0,81.0,24.1,95.8,161.8,21.777355,105.228424
61,8.0,Tuyên Quang,2013.0,12.0,15.0,78.0,15.1,73.6,156.7,21.777355,105.228424
62,8.0,Tuyên Quang,2014.0,1.0,25.0,77.0,16.2,3.8,127.8,21.777355,105.228424
63,8.0,Tuyên Quang,2014.0,2.0,8.0,82.0,17.1,35.7,42.2,21.777355,105.228424
64,8.0,Tuyên Quang,2014.0,3.0,2.0,87.0,20.3,53.3,20.4,21.777355,105.228424
65,8.0,Tuyên Quang,2014.0,4.0,4.0,86.0,25.4,134.6,38.1,21.777355,105.228424
66,8.0,Tuyên Quang,2014.0,5.0,20.0,77.0,28.9,110.9,202.2,21.777355,105.228424
67,8.0,Tuyên Quang,2014.0,6.0,2.0,82.0,29.4,149.0,133.7,21.777355,105.228424
68,8.0,Tuyên Quang,2014.0,10.0,3.0,81.0,25.5,163.0,165.0,21.777355,105.228424
69,8.0,Tuyên Quang,2014.0,12.0,7.0,76.0,16.7,7.9,91.8,21.777355,105.228424
70,8.0,Tuyên Quang,2015.0,1.0,2.0,82.0,17.2,65.5,100.0,21.777355,105.228424
71,8.0,Tuyên Quang,2015.0,2.0,14.0,82.0,19.2,14.1,74.9,21.777355,105.228424
72,8.0,Tuyên Quang,2015.0,3.0,17.0,87.0,21.7,68.3,46.8,21.777355,105.228424
73,8.0,Tuyên Quang,2015.0,4.0,46.0,76.0,25.0,80.3,135.2,21.777355,105.228424
74,8.0,Tuyên Quang,2015.0,5.0,42.0,76.0,29.8,302.3,240.2,21.777355,105.228424
75,8.0,Tuyên Quang,2015.0,6.0,7.0,75.0,30.2,227.4,211.3,21.777355,105.228424
76,8.0,Tuyên Quang,2015.0,7.0,6.0,75.0,29.5,297.3,179.1,21.777355,105.228424
77,8.0,Tuyên Quang,2015.0,8.0,5.0,79.0,29.1,240.9,191.2,21.777355,105.228424
78,8.0,Tuyên Quang,2015.0,9.0,2.0,83.0,28.1,303.4,157.0,21.777355,105.228424
79,8.0,Tuyên Quang,2015.0,10.0,7.0,80.0,25.9,52.9,196.0,21.777355,105.228424
80,8.0,Tuyên Quang,2016.0,1.0,1.0,87.0,16.7,55.5,47.3,21.777355,105.228424
81,8.0,Tuyên Quang,2016.0,2.0,31.0,76.0,16.2,7.8,103.6,21.777355,105.228424
82,8.0,Tuyên Quang,2016.0,3.0,12.0,84.0,20.1,36.3,42.4,21.777355,105.228424
83,8.0,Tuyên Quang,2016.0,4.0,14.0,83.0,25.7,185.0,123.2,21.777355,105.228424
84,8.0,Tuyên Quang,2017.0,1.0,5.0,83.0,19.0,161.9,67.4,21.777355,105.228424
85,8.0,Tuyên Quang,2017.0,2.0,52.0,74.0,19.5,5.6,73.6,21.777355,105.228424
86,8.0,Tuyên Quang,2017.0,3.0,8.0,84.0,21.4,88.5,61.3,21.777355,105.228424
87,8.0,Tuyên Quang,2017.0,4.0,76.0,81.0,24.5,83.8,102.6,21.777355,105.228424
88,8.0,Tuyên Quang,2017.0,5.0,143.0,76.0,27.7,120.4,196.9,21.777355,105.228424
89,8.0,Tuyên Quang,2017.0,6.0,50.0,81.0,29.2,476.5,146.2,21.777355,105.228424
90,8.0,Tuyên Quang,2017.0,7.0,15.0,85.0,28.2,512.5,141.3,21.777355,105.228424
91,8.0,Tuyên Quang,2017.0,8.0,7.0,85.0,28.3,455.2,147.3,21.777355,105.228424
92,8.0,Tuyên Quang,2017.0,9.0,22.0,85.0,28.4,261.7,177.3,21.777355,105.228424
93,8.0,Tuyên Quang,2017.0,10.0,36.0,85.0,25.0,122.0,120.8,21.777355,105.228424
94,8.0,Tuyên Quang,2017.0,11.0,36.0,80.0,21.7,21.3,115.1,21.777355,105.228424
95,8.0,Tuyên Quang,2017.0,12.0,33.0,79.0,17.2,63.3,98.5,21.777355,105.228424
96,8.0,Tuyên Quang,2018.0,1.0,25.0,83.0,17.8,41.4,41.7,21.777355,105.228424
97,8.0,Tuyên Quang,2018.0,2.0,260.0,77.0,17.4,10.5,45.8,21.777355,105.228424
98,8.0,Tuyên Quang,2018.0,3.0,592.0,81.0,22.3,51.3,96.8,21.777355,105.228424
99,8.0,Tuyên Quang,2018.0,4.0,349.0,80.0,24.2,141.2,71.9,21.777355,105.228424
100,8.0,Tuyên Quang,2018.0,5.0,73.0,79.0,28.5,186.4,217.7,21.777355,105.228424
101,8.0,Tuyên Quang,2018.0,6.0,47.0,80.0,29.2,133.0,157.1,21.777355,105.228424
102,8.0,Tuyên Quang,2018.0,7.0,25.0,83.0,29.1,364.4,178.6,21.777355,105.228424
103,8.0,Tuyên Quang,2018.0,8.0,5.0,85.0,28.5,278.5,146.5,21.777355,105.228424
104,8.0,Tuyên Quang,2018.0,9.0,26.0,82.0,28.1,154.7,176.0,21.777355,105.228424
105,8.0,Tuyên Quang,2018.0,10.0,37.0,80.0,24.9,128.9,140.5,21.777355,105.228424
106,8.0,Tuyên Quang,2018.0,11.0,95.0,82.0,22.9,12.2,138.4,21.777355,105.228424
107,8.0,Tuyên Quang,2018.0,12.0,115.0,81.0,19.6,31.7,86.5,21.777355,105.228424
108,8.0,Tuyên Quang,2019.0,1.0,11.0,84.0,17.8,54.7,25.4,21.777355,105.228424
109,8.0,Tuyên Quang,2019.0,2.0,384.0,81.0,22.3,42.9,88.6,21.777355,105.228424
110,8.0,Tuyên Quang,2019.0,3.0,408.0,83.0,22.5,16.3,72.0,21.777355,105.228424
111,8.0,Tuyên Quang,2019.0,4.0,941.0,83.0,27.0,100.1,116.6,21.777355,105.228424
112,8.0,Tuyên Quang,2019.0,5.0,76.0,82.0,27.6,139.6,105.6,21.777355,105.228424
113,8.0,Tuyên Quang,2019.0,6.0,14.0,81.0,30.1,352.5,176.5,21.777355,105.228424
114,8.0,Tuyên Quang,2019.0,7.0,1.0,83.0,29.7,145.5,155.9,21.777355,105.228424
115,8.0,Tuyên Quang,2019.0,8.0,5.0,83.0,29.0,256.7,202.5,21.777355,105.228424
116,8.0,Tuyên Quang,2019.0,9.0,14.0,79.0,27.9,132.7,227.0,21.777355,105.228424
117,8.0,Tuyên Quang,2019.0,10.0,28.0,84.0,25.6,155.1,146.4,21.777355,105.228424
118,8.0,Tuyên Quang,2019.0,11.0,60.0,81.0,22.2,53.1,116.8,21.777355,105.228424
119,8.0,Tuyên Quang,2019.0,12.0,3.0,79.0,18.1,6.4,144.5,21.777355,105.228424
120,12.0,Lai Châu,2011.0,1.0,5.0,78.0,15.9,21.0,47.7,22.362776,103.265991
121,12.0,Lai Châu,2011.0,3.0,32.0,75.0,20.1,115.0,99.5,22.362776,103.265991
122,12.0,Lai Châu,2011.0,4.0,96.0,78.0,24.8,163.7,156.9,22.362776,103.265991
123,12.0,Lai Châu,2011.0,5.0,13.0,81.0,26.1,356.0,174.0,22.362776,103.265991
124,12.0,Lai Châu,2011.0,9.0,2.0,83.0,27.1,228.6,154.0,22.362776,103.265991
125,12.0,Lai Châu,2011.0,10.0,8.0,79.0,24.9,120.6,140.3,22.362776,103.265991
126,12.0,Lai Châu,2011.0,11.0,14.0,83.0,21.1,30.2,164.9,22.362776,103.265991
127,12.0,Lai Châu,2011.0,12.0,6.0,77.0,18.1,1.6,96.4,22.362776,103.265991
128,12.0,Lai Châu,2012.0,1.0,42.0,84.0,13.2,99.7,115.6,22.362776,103.265991
129,12.0,Lai Châu,2012.0,2.0,279.0,79.0,16.1,5.5,174.7,22.362776,103.265991
130,12.0,Lai Châu,2012.0,3.0,488.0,73.0,18.3,31.9,153.0,22.362776,103.265991
131,12.0,Lai Châu,2012.0,4.0,227.0,71.0,22.6,142.9,250.4,22.362776,103.265991
132,12.0,Lai Châu,2012.0,5.0,52.0,81.0,24.0,282.9,182.4,22.362776,103.265991
133,12.0,Lai Châu,2012.0,10.0,6.0,84.0,21.2,243.2,182.8,22.362776,103.265991
134,12.0,Lai Châu,2012.0,12.0,8.0,85.0,15.8,27.2,170.1,22.362776,103.265991
135,12.0,Lai Châu,2013.0,1.0,4.0,89.0,13.5,55.7,117.8,22.362776,103.265991
136,12.0,Lai Châu,2013.0,2.0,10.0,82.0,18.2,41.2,191.8,22.362776,103.265991
137,12.0,Lai Châu,2013.0,3.0,182.0,69.0,20.4,23.9,237.4,22.362776,103.265991
138,12.0,Lai Châu,2013.0,4.0,128.0,79.0,20.9,312.9,184.4,22.362776,103.265991
139,12.0,Lai Châu,2013.0,5.0,11.0,82.0,22.9,381.0,205.0,22.362776,103.265991
140,12.0,Lai Châu,2013.0,6.0,1.0,84.0,23.5,478.7,143.4,22.362776,103.265991
141,12.0,Lai Châu,2013.0,8.0,3.0,88.0,23.4,458.9,163.4,22.362776,103.265991
142,12.0,Lai Châu,2013.0,9.0,2.0,84.0,22.7,171.2,162.2,22.362776,103.265991
143,12.0,Lai Châu,2013.0,10.0,14.0,81.0,19.7,44.6,148.7,22.362776,103.265991
144,12.0,Lai Châu,2013.0,11.0,19.0,84.0,18.3,19.1,162.5,22.362776,103.265991
145,12.0,Lai Châu,2013.0,12.0,20.0,81.0,12.4,199.3,145.3,22.362776,103.265991
146,12.0,Lai Châu,2014.0,1.0,46.0,76.0,13.6,3.7,191.8,22.362776,103.265991
147,12.0,Lai Châu,2014.0,2.0,268.0,72.0,16.1,16.7,195.1,22.362776,103.265991
148,12.0,Lai Châu,2014.0,3.0,618.0,71.0,20.3,81.6,197.9,22.362776,103.265991
149,12.0,Lai Châu,2014.0,4.0,132.0,76.0,23.4,214.4,219.7,22.362776,103.265991
150,12.0,Lai Châu,2014.0,5.0,4.0,77.0,24.0,243.8,211.5,22.362776,103.265991
151,12.0,Lai Châu,2014.0,10.0,1.0,79.0,20.2,120.2,145.7,22.362776,103.265991
152,12.0,Lai Châu,2014.0,11.0,3.0,83.0,17.5,97.2,142.4,22.362776,103.265991
153,12.0,Lai Châu,2014.0,12.0,6.0,81.0,13.9,1.4,127.2,22.362776,103.265991
154,12.0,Lai Châu,2015.0,1.0,10.0,75.0,13.7,82.7,192.5,22.362776,103.265991
155,12.0,Lai Châu,2015.0,2.0,29.0,78.0,16.3,41.0,170.8,22.362776,103.265991
156,12.0,Lai Châu,2015.0,3.0,175.0,73.0,21.1,63.2,197.4,22.362776,103.265991
157,12.0,Lai Châu,2015.0,4.0,75.0,73.0,22.0,140.3,217.5,22.362776,103.265991
158,12.0,Lai Châu,2015.0,5.0,78.0,72.0,25.2,216.7,258.1,22.362776,103.265991
159,12.0,Lai Châu,2015.0,10.0,3.0,84.0,20.9,202.7,172.4,22.362776,103.265991
160,12.0,Lai Châu,2015.0,11.0,2.0,83.0,18.9,84.9,181.7,22.362776,103.265991
161,12.0,Lai Châu,2016.0,1.0,6.0,83.0,13.4,74.0,176.1,22.362776,103.265991
162,12.0,Lai Châu,2016.0,2.0,20.0,79.0,12.5,24.9,130.0,22.362776,103.265991
163,12.0,Lai Châu,2016.0,3.0,183.0,72.0,19.2,66.9,181.8,22.362776,103.265991
164,12.0,Lai Châu,2016.0,4.0,188.0,76.0,23.3,197.8,212.3,22.362776,103.265991
165,12.0,Lai Châu,2017.0,1.0,1.0,83.0,14.8,72.2,122.0,22.362776,103.265991
166,12.0,Lai Châu,2017.0,2.0,111.0,78.0,15.1,16.0,150.5,22.362776,103.265991
167,12.0,Lai Châu,2017.0,3.0,327.0,78.0,18.6,218.3,184.2,22.362776,103.265991
168,12.0,Lai Châu,2017.0,4.0,347.0,79.0,20.4,217.8,164.5,22.362776,103.265991
169,12.0,Lai Châu,2017.0,5.0,156.0,79.0,22.3,194.6,198.6,22.362776,103.265991
170,12.0,Lai Châu,2017.0,6.0,28.0,87.0,23.4,637.6,110.4,22.362776,103.265991
171,12.0,Lai Châu,2017.0,7.0,4.0,87.0,22.6,639.8,121.4,22.362776,103.265991
172,12.0,Lai Châu,2017.0,8.0,3.0,92.0,23.4,566.8,104.5,22.362776,103.265991
173,12.0,Lai Châu,2017.0,9.0,43.0,89.0,23.9,284.6,132.9,22.362776,103.265991
174,12.0,Lai Châu,2017.0,10.0,64.0,89.0,21.0,160.0,112.5,22.362776,103.265991
175,12.0,Lai Châu,2017.0,11.0,89.0,86.0,17.0,136.1,138.8,22.362776,103.265991
176,12.0,Lai Châu,2017.0,12.0,95.0,85.0,13.8,35.3,158.8,22.362776,103.265991
177,12.0,Lai Châu,2018.0,1.0,129.0,83.0,14.4,53.5,127.5,22.362776,103.265991
178,12.0,Lai Châu,2018.0,2.0,1623.0,79.0,14.3,31.8,153.0,22.362776,103.265991
179,12.0,Lai Châu,2018.0,3.0,3455.0,80.0,18.4,99.5,176.5,22.362776,103.265991
180,12.0,Lai Châu,2018.0,4.0,3407.0,80.0,20.9,292.8,196.8,22.362776,103.265991
181,12.0,Lai Châu,2018.0,5.0,143.0,85.0,22.8,433.7,190.0,22.362776,103.265991
182,12.0,Lai Châu,2018.0,6.0,2.0,92.0,23.1,526.2,84.4,22.362776,103.265991
183,12.0,Lai Châu,2018.0,7.0,1.0,89.0,24.0,330.3,158.4,22.362776,103.265991
184,12.0,Lai Châu,2018.0,8.0,4.0,90.0,23.9,426.4,127.9,22.362776,103.265991
185,12.0,Lai Châu,2018.0,9.0,15.0,86.0,23.4,322.9,118.5,22.362776,103.265991
186,12.0,Lai Châu,2018.0,10.0,22.0,86.0,20.8,188.1,130.3,22.362776,103.265991
187,12.0,Lai Châu,2018.0,11.0,162.0,84.0,18.7,83.9,235.2,22.362776,103.265991
188,12.0,Lai Châu,2018.0,12.0,186.0,86.0,15.6,106.0,146.5,22.362776,103.265991
189,12.0,Lai Châu,2019.0,1.0,51.0,88.0,14.8,144.9,131.5,22.362776,103.265991
190,12.0,Lai Châu,2019.0,2.0,3420.0,75.0,18.8,25.1,246.6,22.362776,103.265991
191,12.0,Lai Châu,2019.0,3.0,7769.0,77.0,20.3,51.1,190.4,22.362776,103.265991
192,12.0,Lai Châu,2019.0,4.0,10830.0,75.0,23.5,72.7,241.5,22.362776,103.265991
193,12.0,Lai Châu,2019.0,5.0,526.0,80.0,24.7,500.5,231.0,22.362776,103.265991
194,12.0,Lai Châu,2019.0,6.0,1.0,88.0,24.2,711.4,127.4,22.362776,103.265991
195,12.0,Lai Châu,2019.0,7.0,1.0,90.0,23.6,507.8,91.1,22.362776,103.265991
196,12.0,Lai Châu,2019.0,8.0,5.0,86.0,24.6,169.9,187.1,22.362776,103.265991
197,12.0,Lai Châu,2019.0,9.0,16.0,82.0,22.7,86.8,185.1,22.362776,103.265991
198,12.0,Lai Châu,2019.0,10.0,29.0,85.0,21.0,222.3,174.4,22.362776,103.265991
199,12.0,Lai Châu,2019.0,11.0,31.0,82.0,18.6,7.0,164.9,22.362776,103.265991
200,12.0,Lai Châu,2019.0,12.0,7.0,77.0,14.2,43.0,219.4,22.362776,103.265991
201,14.0,Sơn La,2011.0,1.0,5.0,84.0,11.7,11.1,31.1,21.328716,103.914528
