,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,264
1,2,Vườn quốc gia Bidoup-Núi Bà,23
2,3,Vườn quốc gia Chư Yang Sin,11
3,4,Vườn quốc gia Chư Mom Ray,10
4,5,Vườn quốc gia Phước Bình,10
5,6,Vườn quốc gia Cát Tiên,9
6,7,Vườn quốc gia Hoàng Liên,3
7,8,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,2
8,9,Vườn quốc gia Tam Đảo,2
9,10,Vườn quốc gia Ba Bể,1
10,11,Vườn quốc gia Kon Ka Kinh,1
11,12,Vườn quốc gia Vũ Quang,1
