,#,Tháng,Số điểm cháy
0,1,1,7792
1,2,2,92090
2,3,3,178656
3,4,4,133833
4,5,5,7298
5,6,6,2565
6,7,7,2354
7,8,8,2281
8,9,9,2298
9,10,10,3920
10,11,11,1677
11,12,12,1241
