,#,Tháng,Số điểm cháy
0,1,1,1360
1,2,2,2126
2,3,3,4298
3,4,4,1650
4,5,5,1170
5,6,6,351
6,7,7,122
7,8,8,196
8,9,9,179
9,10,10,101
10,11,11,124
11,12,12,237
