,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,2134
1,2,Vườn quốc gia Bidoup-Núi Bà,224
2,3,Vườn quốc gia Chư Yang Sin,148
3,4,Vườn quốc gia Chư Mom Ray,72
4,5,Vườn quốc gia Phước Bình,51
5,6,Vườn quốc gia Lò Gò Xa Mát,40
6,7,Vườn quốc gia Cát Tiên,24
7,8,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,16
8,9,Vườn quốc gia Núi Chúa,8
9,10,Vườn quốc gia Kon Ka Kinh,4
10,11,Vườn quốc gia Phú Quốc,2
11,12,Vườn quốc gia Tràm Chim,1
12,13,Vườn quốc gia Vũ Quang,1
13,14,Vườn quốc gia Tam Đảo,1
14,15,Vườn quốc gia Ba Bể,1
15,16,Vườn quốc gia Bạch Mã,1
