,#,Tháng,Số điểm cháy
0,1,1,711
1,2,2,2620
2,3,3,3580
3,4,4,2035
4,5,5,842
5,6,6,290
6,7,7,202
7,8,8,203
8,9,9,113
9,10,10,128
10,11,11,98
11,12,12,352
