,#,Tháng,Số điểm cháy
0,1,1,894
1,2,2,1809
2,3,3,3320
3,4,4,3571
4,5,5,425
5,6,6,240
6,7,7,282
7,8,8,228
8,9,9,189
9,10,10,104
10,11,11,71
11,12,12,190
