,#,Tháng,Số điểm cháy
0,1,1,386
1,2,2,1967
2,3,3,1292
3,4,4,2099
4,5,5,960
5,6,6,366
6,7,7,386
7,8,8,212
8,9,9,100
9,10,10,68
10,11,11,199
11,12,12,434
