,#,Tên tỉnh,Số điểm cháy
0,1,Nghệ An,1021
1,2,Điện Biên,1013
2,3,Đắk Lắk,935
3,4,Kon Tum,917
4,5,Quảng Nam,807
5,6,Gia Lai,801
6,7,Sơn La,712
7,8,Đắk Nông,490
8,9,Quảng Ngãi,438
9,10,Bình Định,426
10,11,Lai Châu,372
11,12,Lâm Đồng,297
12,13,Quảng Ninh,280
13,14,Thanh Hoá,251
14,15,Hà Tĩnh,237
15,16,Phú Yên,191
16,17,Khánh Hòa,179
17,18,Tuyên Quang,148
18,19,Quảng Bình,146
19,20,Thừa Thiên Huế,141
20,21,Lạng Sơn,134
21,22,Bắc Kạn,134
22,23,Bình Thuận,126
23,24,Hà Giang,119
24,25,Yên Bái,117
25,26,Cao Bằng,115
26,27,Hòa Bình,106
27,28,Ninh Thuận,100
28,29,Kiên Giang,71
29,30,Lào Cai,61
30,31,Bắc Giang,60
31,32,Đồng Nai,46
32,33,Phú Thọ,45
33,34,Thái Nguyên,42
34,35,Bình Phước,30
35,36,Cà Mau,27
36,37,Long An,23
37,38,Bà Rịa-Vũng Tàu,14
38,39,An Giang,12
39,40,Đồng Tháp,7
40,41,Hồ Chí Minh,5
41,42,Tây Ninh,5
42,43,Bình Dương,5
43,44,Vĩnh Phúc,3
44,45,Hải Dương,2
45,46,Tiền Giang,1
46,47,Hậu Giang,1
47,48,Hà Nội,1
