,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,3033
1,2,Vườn quốc gia Bidoup-Núi Bà,754
2,3,Vườn quốc gia Chư Yang Sin,577
3,4,Vườn quốc gia Chư Mom Ray,551
4,5,Vườn quốc gia Cát Tiên,265
5,6,Vườn quốc gia Phước Bình,140
6,7,Vườn quốc gia Kon Ka Kinh,103
7,8,Vườn quốc gia Phú Quốc,84
8,9,Vườn quốc gia Lò Gò Xa Mát,80
9,10,Vườn quốc gia Núi Chúa,52
10,11,Vườn quốc gia Tràm Chim,45
11,12,Vườn quốc gia Pù Mát,44
12,13,Vườn quốc gia Tam Đảo,35
13,14,Vườn quốc gia Phong Nha Kẻ Bàng,23
14,15,Vườn quốc gia Vũ Quang,23
15,16,Vườn quốc gia Bù Gia Mập,21
16,17,Vườn quốc gia U Minh Hạ,11
17,18,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,8
18,19,Vườn quốc gia Bạch Mã,5
19,20,Vườn quốc gia Hoàng Liên,5
20,21,Vườn quốc gia Xuân Sơn,4
21,22,Vườn quốc gia Ba Vì,4
22,23,Vườn quốc gia U Minh Thượng,3
23,24,Vườn quốc gia Bến En,3
24,25,Vườn quốc gia Cúc Phương,3
25,26,Vườn quốc gia Ba Bể,2
26,27,Vườn quốc gia Mũi Cà Mau,1
27,28,Vườn quốc gia Bái Tử Long,1
