,#,Tên tỉnh,Số điểm cháy
0,1,Điện Biên,1076
1,2,Kon Tum,982
2,3,Sơn La,928
3,4,Đắk Lắk,715
4,5,Bình Định,642
5,6,Bình Thuận,586
6,7,Gia Lai,578
7,8,Quảng Bình,410
8,9,Lai Châu,397
9,10,Đắk Nông,391
10,11,Ninh Thuận,387
11,12,Quảng Nam,361
12,13,Phú Yên,340
13,14,Cao Bằng,273
14,15,Bắc Kạn,270
15,16,Nghệ An,262
16,17,Thừa Thiên Huế,246
17,18,Lâm Đồng,237
18,19,Khánh Hòa,233
19,20,Thái Nguyên,194
20,21,Bắc Giang,170
21,22,Quảng Ninh,166
22,23,Phú Thọ,143
23,24,Hòa Bình,141
24,25,Lạng Sơn,136
25,26,Quảng Ngãi,129
26,27,Bình Phước,126
27,28,Thanh Hoá,121
28,29,Đồng Nai,107
29,30,Yên Bái,87
30,31,Lào Cai,83
31,32,Hà Tĩnh,62
32,33,Tuyên Quang,61
33,34,Kiên Giang,45
34,35,Hà Giang,43
35,36,Tây Ninh,38
36,37,Long An,38
37,38,Cà Mau,22
38,39,An Giang,20
39,40,Vĩnh Phúc,14
40,41,Bà Rịa-Vũng Tàu,12
41,42,Hồ Chí Minh,11
42,43,Đồng Tháp,11
43,44,Ninh Bình,9
44,45,Bình Dương,7
45,46,Hà Nội,4
46,47,Sóc Trăng,4
47,48,Hậu Giang,1
48,49,Bạc Liêu,1
49,50,Hải Phòng,1
50,51,Bắc Ninh,1
