,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,299
1,2,Vườn quốc gia Cát Tiên,9
2,3,Vườn quốc gia Chư Mom Ray,8
3,4,Vườn quốc gia Hoàng Liên,6
4,5,Vườn quốc gia Chư Yang Sin,5
5,6,Vườn quốc gia Phước Bình,4
6,7,Vườn quốc gia Kon Ka Kinh,4
7,8,Vườn quốc gia Phong Nha Kẻ Bàng,3
8,9,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,2
9,10,Vườn quốc gia Bidoup-Núi Bà,1
10,11,Vườn quốc gia Xuân Sơn,1
11,12,Vườn quốc gia Tam Đảo,1
12,13,Vườn quốc gia Núi Chúa,1
13,14,Vườn quốc gia Tràm Chim,1
