,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,9024
1,2,Vườn quốc gia Chư Yang Sin,869
2,3,Vườn quốc gia Bidoup-Núi Bà,429
3,4,Vườn quốc gia Cát Tiên,341
4,5,Vườn quốc gia Phước Bình,189
5,6,Vườn quốc gia Chư Mom Ray,162
6,7,Vườn quốc gia Núi Chúa,86
7,8,Vườn quốc gia Phú Quốc,57
8,9,Vườn quốc gia Vũ Quang,44
9,10,Vườn quốc gia Kon Ka Kinh,43
10,11,Vườn quốc gia Lò Gò Xa Mát,42
11,12,Vườn quốc gia Pù Mát,41
12,13,Vườn quốc gia Phong Nha Kẻ Bàng,34
13,14,Vườn quốc gia Xuân Sơn,24
14,15,Vườn quốc gia Tam Đảo,21
15,16,Vườn quốc gia Tràm Chim,20
16,17,Vườn quốc gia Bù Gia Mập,12
17,18,Vườn quốc gia Bến En,7
18,19,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,6
19,20,Vườn quốc gia Cúc Phương,5
20,21,Vườn quốc gia Ba Vì,5
21,22,Vườn quốc gia Hoàng Liên,3
22,23,Vườn quốc gia Ba Bể,3
23,24,Vườn quốc gia U Minh Hạ,2
24,25,Vườn quốc gia Bạch Mã,2
25,26,Vườn quốc gia U Minh Thượng,1
26,27,Vườn quốc gia Cát Bà,1
