,#,Tháng,Số điểm cháy
0,1,1,5901
1,2,2,86148
2,3,3,142040
3,4,4,113836
4,5,5,6725
5,6,6,2463
6,7,7,2974
7,8,8,2170
8,9,9,5771
9,10,10,4645
10,11,11,6496
11,12,12,4851
