,#,Tên tỉnh,Số điểm cháy
0,1,Kon Tum,1062
1,2,Điện Biên,996
2,3,Nghệ An,648
3,4,Đắk Lắk,645
4,5,Quảng Nam,636
5,6,Gia Lai,612
6,7,Sơn La,500
7,8,Đắk Nông,448
8,9,Lai Châu,394
9,10,Lâm Đồng,356
10,11,Quảng Ninh,278
11,12,Quảng Ngãi,267
12,13,Thanh Hoá,213
13,14,Bình Định,187
14,15,Quảng Bình,110
15,16,Phú Yên,108
16,17,Lạng Sơn,108
17,18,Bình Thuận,104
18,19,Bắc Kạn,101
19,20,Yên Bái,83
20,21,Thừa Thiên Huế,79
21,22,Cao Bằng,73
22,23,Tuyên Quang,72
23,24,Khánh Hòa,71
24,25,Hà Tĩnh,67
25,26,Phú Thọ,63
26,27,Ninh Thuận,54
27,28,Bình Phước,52
28,29,Hòa Bình,52
29,30,Hà Giang,46
30,31,Thái Nguyên,42
31,32,Bắc Giang,32
32,33,Lào Cai,30
33,34,Đồng Nai,30
34,35,Cà Mau,14
35,36,Kiên Giang,13
36,37,Bà Rịa-Vũng Tàu,10
37,38,Vĩnh Phúc,6
38,39,Tây Ninh,5
39,40,Đồng Tháp,5
40,41,Long An,5
41,42,Ninh Bình,2
42,43,Hồ Chí Minh,2
43,44,Hà Nội,1
44,45,Hải Phòng,1
