,#,Tháng,Số điểm cháy
0,1,1,1065
1,2,2,1288
2,3,3,2615
3,4,4,2403
4,5,5,1395
5,6,6,734
6,7,7,364
7,8,8,410
8,9,9,354
9,10,10,288
10,11,11,109
11,12,12,189
